sh;st0;st1;st2;st3;st4;st5;st6;st7;st8;st9;st10;st11;st12;st13
3509.98;0;14.31;17;8.76;13.2;4.18;19.68;12.75;0.81;3.46;15.61;7.48;31.76;4.27
3147.96;0;13.41;16.3;8.84;13.17;4.57;18.18;12.54;0.66;3.02;13.95;9.84;28.04;4.17
3223.48;0;13.41;16.97;9.76;13.67;4.75;21.55;12.83;0.7;3.04;13.94;12.22;28.11;4.48
3155.06;0;12.64;16.43;9.46;13.04;4.36;20.71;13;0.69;3;14.63;11.78;25.58;4.49
3123.37;0;11.86;15.73;9.19;12.65;4.39;22.06;14.44;0.62;2.89;13.94;12.28;24.32;4.32
3230.67;0;12.24;16.95;9.3;14.75;4.52;22.84;15.17;0.66;2.99;14.74;12.48;25.62;4.66
3188.61;0;12.86;15.84;9.11;14.03;4.3;22.85;14.62;0.62;3.19;13.3;13.79;24.69;4.56
3064.1;0;11.81;13.73;8.8;13.93;4.02;22.31;14.84;0.51;2.81;12.39;12.98;22.53;4.52
3166.62;0;12.11;14.07;8.96;13.64;4.22;21.79;14.62;0.6;2.88;12.99;13.6;24.23;4.69
3091.86;0;11.53;12.85;8.13;11.85;3.91;19.93;12.64;0.57;2.69;11.76;11.21;21.28;4.49
2983.46;0;10.53;12.21;8.02;10.84;3.71;16.85;11.87;0.53;3.1;11.23;10.94;21.39;4.3
3036.74;0;11.15;11.97;8.14;10.6;3.57;17.62;12.07;0.59;2.72;11.15;10.5;21.1;4.12
3120.96;0;11.7;12.35;8.26;11.02;4.06;18.78;12.82;0.71;2.83;12.26;12.09;22.01;4.39
3211.88;0;12.11;13.2;8.07;10.98;4.01;20.91;12.87;0.69;3.32;13.9;11.64;28.2;4.64
3197.62;0;12.53;12.68;7.91;11.38;4.32;19.95;12.92;0.66;3.25;13.82;12.68;26.67;4.44
3270.67;0;12.59;12.17;7.54;10.93;4.07;19.32;13.48;0.75;3.24;13.28;12.2;26.35;4.33
3247.87;0;12.31;12.51;7.67;11;4.34;19.35;13.6;0.69;3.54;13.07;12.29;26.19;4.47
